"Genotype" "Background" "Background.simple" "Treatment" "Treatment.V" "Chamber.ID" "Chamber.Irradiance" "Vernalization" "Daylength" "Temperature" "Fluctuation" "Survival.Bolt" "Bolt" "Days.to.Bolt" "Days.to.Flower" "Rosette.leaf.num" "Cauline.leaf.num" "Blade.length.mm" "Total.leaf.length.mm" "Blade.ratio"
"1" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "35" "48" "18" "7" "15.6" "29.7" 0.525252525
"2" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "35" "48" "17" "5" "16.4" "32.9" 0.498480243
"3" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "36" "48" "22" "6" "10.6" "20.4" 0.519607843
"4" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "36" "47" "18" "5" "15.9" "25.6" 0.62109375
"5" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "38" "50" "24" "8" "14.4" "26.4" 0.545454545
"6" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "39" "53" "20" "7" "15.9" "29.7" 0.535353535
"7" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "40" "54" "19" "6" "18.5" "33.5" 0.552238806
"8" "agl24-1" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "41" "53" "25" "8" "21.9" "36.4" 0.601648352
"9" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "84" "100" "61" "7" "24" "40.7" 0.58968059
"10" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "84" "102" "51" "7" "20.1" "34" 0.591176471
"11" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "85" "102" "56" "7" "21.5" "32.3" 0.665634675
"12" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "85" "102" "54" "6" "20.3" "31" 0.65483871
"13" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "94" "115" "58" "5" "24.1" "34.6" 0.696531792
"14" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "97" "118" "68" "7" "31.4" "44.3" 0.708803612
"15" "agl24-1" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "101" "123" "55" "9" "23.5" "35" 0.671428571
